"vismedId","name","doctoraliaDoctorId","status","bookings","primeiro","ultimo"
6960,"DRA. RENATA MARTINHO (OFTALMOLOGIA)",NULL,"BOOKED",10,"2026-08-14 18:10:00","2026-08-25 17:50:00"
6977,"DRA.LEA MARIA FONTENELLE LOUREIRO LIMA ( NEUROLOGIA / PSIQUIATRIA )","883835","CONFIRMED",27,"2026-08-13 12:10:00","2026-08-25 14:20:00"
6964,"DRA. YASMIN PASSAMANI (PEDIATRIA/CLÍNICA GERAL)",NULL,"CONFIRMED",20,"2026-08-15 12:50:00","2026-08-25 13:00:00"
1599,"DR. SÉRGIO MADEIRA (UROLOGIA)","456303","BOOKED",13,"2026-08-17 12:40:00","2026-08-24 14:40:00"
6992,"DR. IGOR DONADEL FELTRIN (ULTRASSONOGRAFIA)","1468776","BOOKED",24,"2026-08-14 18:00:00","2026-08-21 20:40:00"
5928,"DRA. HELGA MONTANO (NEFROLOGISTA)",NULL,"BOOKED",9,"2026-08-21 17:00:00","2026-08-21 20:20:00"
5928,"DRA. HELGA MONTANO (NEFROLOGISTA)",NULL,"CONFIRMED",1,"2026-08-21 18:20:00","2026-08-21 18:20:00"
6929,"DR. MARCELLO GOETTNAUER DOS SANTOS (DENTISTA)","937475","BOOKED",10,"2026-08-14 12:00:00","2026-08-21 16:00:00"
6976,"DR. FILIPE CESAR PEREIRA GONDAR (ANGIOLOGIA - CIRURGIA VASCULAR)","1468773","CONFIRMED",16,"2026-08-13 12:00:00","2026-08-20 18:10:00"
6811,"DOCCTORLAB",NULL,"BOOKED",3,"2026-08-14 13:10:00","2026-08-20 18:00:00"
6793,"DRA. LORRAINE ULLMANN (ODONTOLOGIA/ESTETICA)",NULL,"BOOKED",4,"2026-08-18 10:00:00","2026-08-20 14:40:00"
6571,"DRA. LUZIA MARCELINO LOURENÇO (PSICÓLOGA)","866482","CONFIRMED",5,"2026-08-13 12:40:00","2026-08-20 12:00:00"
6998,"DR. GUILHERME DUMARD GUIMRAES (DENTISTA)",NULL,"BOOKED",2,"2026-08-19 21:00:00","2026-08-19 21:10:00"
6998,"DR. GUILHERME DUMARD GUIMRAES (DENTISTA)",NULL,"CONFIRMED",1,"2026-08-19 21:00:00","2026-08-19 21:00:00"
6898,"DRA. BARBARA VITORIA DO NASCIMENTO (DENTISTA)","937474","CONFIRMED",20,"2026-08-13 12:00:00","2026-08-19 19:20:00"
5765,"DRA. FERNANDA YACOUB DINIZ (ECO E DOPPLER DE CARÓTIDAS)","503019","CONFIRMED",14,"2026-08-12 16:40:00","2026-08-19 19:00:00"
6808,"DR. MATEUS FERREIRA DE ALMEIDA (OFTALMOLOGIA)","937679","CONFIRMED",12,"2026-08-12 18:00:00","2026-08-19 18:30:00"
6978,"EXAMES OFTALMOLÓGICOS QUARTA - JULIANA DE SOUZA BRASIL",NULL,"BOOKED",1,"2026-08-19 18:10:00","2026-08-19 18:10:00"
1904,"DR. WALLACE MOURA (OTORRINOLARINGOLOGISTA)",NULL,"CONFIRMED",25,"2026-08-12 15:20:00","2026-08-19 17:20:00"
6958,"DRA. ISABELA BAARS (NEUROPSICOLOGA)","898214","CONFIRMED",20,"2026-08-12 12:00:00","2026-08-19 17:00:00"
6968,"DRA. IZABELLE DA SILVA RAMOS (DENTISTA)","865075","BOOKED",3,"2026-08-12 12:00:00","2026-08-19 16:00:00"
4907,"DR. PEDRO HEISLER (ULTRASSONOGRAFIA)",NULL,"CONFIRMED",28,"2026-08-12 12:00:00","2026-08-19 15:10:00"
6982,"DR. HENRI MARINS COSTA (ECO E DOPPLER DE CARÓTIDAS)",NULL,"CONFIRMED",35,"2026-08-15 11:30:00","2026-08-19 14:00:00"
6966,"DRA BRUNA RIKLY (ESTETICA)","1468781","CONFIRMED",7,"2026-08-12 12:30:00","2026-08-19 13:00:00"
1624,"LUMIC",NULL,"BOOKED",2,"2026-08-12 10:00:00","2026-08-19 10:00:00"
3744,"DOCCTOR LAB",NULL,"BOOKED",647,"2026-08-12 10:00:00","2026-08-19 10:00:00"
5554,"TEC-SERRA (ATRÁS DO TRAUMACENTER)",NULL,"BOOKED",18,"2026-08-12 10:00:00","2026-08-19 10:00:00"
6897,"DRA. GLEICE BRANDÃO (DENTISTA)","937471","CONFIRMED",25,"2026-08-17 12:00:00","2026-08-18 20:00:00"
6726,"DRA. MONIQUE FURTUNA DE SOUZA (TERAPIA DE REPROCESSAMENTO GENERATIVO)","937736","CONFIRMED",21,"2026-08-13 13:00:00","2026-08-18 20:00:00"
